Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Greece;36.61275208;35.81883311;34.00274515;31.99404776;29.30950224;28.12847197;30.91951609;30.13835847;33.68635774;36.63310707;36.42956913;34.60354507;34.75020826
Grenada;45.85783184;44.74805593;49.05388951;51.05264187;48.81522059;49.49786961;50.7433176;53.71624231;54.61626649;50.26921034;52.46434212;49.16312695;52.4138391
Greenland;;;;;;;;;;;;;
Guatemala;62.47687936;61.51553392;61.62371039;59.04833674;56.9231987;58.94914269;58.8792026;58.3199203;57.24531412;55.28972149;55.02624512;53.23911309;54.13410664
Guam;;;;;;;;;;;;;
Guyana;33.96286368;37.10252047;36.88583076;41.74368083;37.23195195;36.69476807;38.2978797;39.72737491;38.61350715;37.17780113;39.74987566;29.93546724;32.47064352
High income;15.16269716;15.1047039;15.05442983;14.91112938;14.35716353;14.31974561;14.2489679;14.12816174;14.26197872;14.024471;13.73489013;13.67818798;13.63447516
Hong Kong SAR, China;;;;;;;;;;;;;
Honduras;47.93512523;48.51278365;49.37001169;51.30544901;45.17457485;46.28527462;45.78747153;49.91965592;49.27191436;47.16394842;49.15177822;46.97735608;48.70167673
Heavily indebted poor countries (HIPC);46.4853124;46.56786258;47.89038779;48.38638784;45.4182403;45.43930813;44.8667838;44.69594114;45.82116811;43.7828451;43.57724614;44.68145574;46.35609265
Croatia;13.39059621;13.3146584;12.39423603;14.51390833;13.74662817;13.95677775;12.05216944;11.47245094;8.831276745;11.2752825;10.94434559;10.97398251;10.97325161
Haiti;46.01601958;43.06276739;40.12002349;38.57956231;39.27423954;33.30967426;26.08627677;28.43981683;36.2416476;31.01531267;33.9648813;35.29019356;40.22790194
Hungary;25.80142617;25.0464052;27.01435387;26.95135176;26.26888156;27.44554877;28.24357152;29.39691842;28.38487625;28.36090922;27.48836577;27.71828771;26.89432502
IBRD only;43.53847591;41.73162814;40.03841998;38.21501623;37.54374368;36.77365371;36.14319036;35.88948167;35.74551165;34.91458773;34.80971563;35.38649797;35.09716993
IDA & IBRD total;44.25347441;42.68340259;41.05836067;39.31735438;38.55368896;37.7953471;37.11171832;36.83650167;36.74151369;35.96830376;35.94741677;36.45441866;36.12999903
IDA total;55.1171297;56.71911865;56.71294063;57.23700717;55.54292954;55.62295336;55.0656542;54.41955621;54.97869274;54.38999996;54.86053654;54.61836647;55.02713362
IDA blend;63.51628494;67.03787366;65.41868731;65.99772549;65.55649213;64.29713801;62.45639333;60.95569021;60.35161742;60.12236977;60.44718655;60.04651192;59.57211135
Indonesia;54.2106986;52.32517719;48.64442647;48.1474936;48.0902046;56.98842406;56.91761971;53.1679213;49.32272434;42.51700044;41.09320343;37.57368326;34.60571766
IDA only;48.81653476;48.52082742;50.20035329;50.8742387;49.07191285;49.47952105;49.87426925;49.43627379;50.70423323;49.6771059;50.5568625;50.54461922;51.87450073
Isle of Man;;;;;;;;;;;;;
India;73.14936519;72.25707769;70.81672549;69.14794445;66.75775051;65.18476605;62.22490072;63.00013661;69.07303333;67.01399684;64.66441154;63.20620179;62.40150332
Not classified;;;;;;;;;;;;;
Ireland;13.55300397;13.92956227;11.5712367;11.86308861;12.70052791;13.79563659;13.9069587;13.88725638;14.27645087;14.03183043;13.24400157;12.77513355;12.28111684
Iran, Islamic Rep.;56.09494448;51.68799162;53.21485996;55.47851324;56.02760911;59.39722061;57.52153397;54.96147275;51.06695294;42.19447076;40.93177915;42.29375124;41.75656438
Iraq;30.24328649;33.54541659;30.57961464;21.52830511;22.39090651;26.10435188;25.13509393;61.73806787;58.34977627;61.83714867;76.46998167;78.05916667;58.04329515
Iceland;17.24506319;16.60773754;16.04090184;15.96008539;16.6221723;18.18674654;18.47118735;18.57059449;18.25796515;17.98097789;17.63640493;16.86918437;16.48037881
Israel;30.24325073;25.72410405;26.66324377;25.34703016;25.4189074;23.81169498;23.75934273;23.40835631;22.65417129;23.01371992;22.49462306;22.33165354;22.25088626
Italy;21.60582542;21.31744474;21.51615471;21.33932561;20.66364437;20.54892778;22.02690393;21.67975903;21.76292092;22.13684618;23.13825786;22.92509377;23.48580658
Jamaica;29.85166013;27.18415856;32.34584928;31.1344564;24.68883693;24.84059483;23.39834124;21.27392888;18.42216998;21.139507;18.87340546;17.94591993;17.22969562
Jordan;40.07585347;39.18604553;36.04766726;31.94139302;22.71313071;21.85514569;20.90163976;21.58314288;22.13348597;20.89077383;29.36957479;30.0987184;30.4274261
Japan;15.67343473;16.42206758;15.51505774;15.23826569;15.15913308;14.57035989;13.12178373;12.97234446;12.70128042;12.86967993;12.94767112;12.85439879;12.84771711
Kazakhstan;34.41235125;31.08116686;32.77424276;24.47266579;22.91315496;27.57405043;26.25483871;28.00483406;30.8603555;26.13694072;32.03985989;35.54324806;33.14947486
Kenya;44.95913684;38.43079507;35.76912582;33.46188664;31.50622547;30.17857373;30.96613586;31.60435557;32.13203251;29.22180295;26.89801455;24.99973029;24.04331267
Kyrgyz Republic;42.56970286;39.18014467;42.91151464;48.67649078;38.58998418;43.09150279;43.54013801;43.24369431;46.41520679;56.32425547;54.53976989;57.21311569;56.37663007
Cambodia;60.94005108;52.3414135;48.67759049;51.07616186;50.50344467;51.9094646;59.74187851;60.47090888;61.2221539;58.6217761;57.33106732;58.5604012;60.43587327
Kiribati;0.118229166;0.102948223;0.101379224;0.080349622;0.086203899;0.122665521;0.134366518;0.144111342;0.121123367;0.117819582;0.146687578;0.123485515;0.112219597
St. Kitts and Nevis;47.98293114;50.04897714;51.09035373;56.86151385;54.6826303;55.21491766;55.53620458;55.40708303;56.48267269;52.8781414;54.32409048;48.22799265;47.76991606
Korea, Rep.;38.13159168;36.15974486;36.17049158;37.42468059;34.69777107;34.40757692;34.55290496;34.95872617;34.63242352;34.2913717;34.02661085;33.35577846;33.66904259
Kuwait;18.18181872;17.16867536;19.28057522;19.71279383;11.69491559;13.92543912;12.48876899;13.55661899;13.93891871;12.70270199;14.37861323;16.04506224;12.61530966
Latin America & Caribbean (excluding high income);40.59053565;38.4208993;36.83559796;34.6559225;33.50761108;31.7810739;30.33272621;29.93348716;28.94246671;28.51348593;28.05483613;28.47568071;27.92781592
Lao PDR;43.72243881;41.07786417;34.90810692;31.37778938;26.87694132;35.96009612;52.60241032;48.63187075;48.70332181;50.87946653;45.3653276;46.44212127;46.18336558
Lebanon;47.32339382;44.68946159;44.079566;44.85952258;44.56974268;43.5850054;40.18660784;32.81135559;32.8643173;33.83569717;33.17492008;33.52616131;33.21874738
Liberia;72.74137139;67.25722551;66.4570868;57.80140758;50.26800036;51.58011317;48.33509028;45.20590007;47.92863429;51.11114383;47.0289439;46.87874615;45.50635815
Libya;35.34671664;34.62698758;33.44186544;32.26568103;31.10063076;29.97363806;36.66828275;;;;;;
St. Lucia;55.96851707;58.68156552;63.93406987;59.58971381;57.42234588;54.76262569;55.60452938;51.65476799;52.0742774;47.55033851;47.01634049;49.05203581;44.75309849
Latin America & Caribbean;40.49598257;38.37226546;36.81339288;34.64484631;33.4508479;31.80956195;30.44340613;30.041099;29.10958982;28.71992354;28.32844484;28.7433194;28.23776227
Least developed countries: UN classification;48.60422844;46.86128416;48.29866785;47.85831436;46.25036085;47.83324888;48.0049171;47.2789928;48.96768448;48.28622003;50.9370314;51.4123195;52.37742166
Low income;48.75170903;50.15946229;51.21229629;51.78908337;49.50464782;50.27945262;50.80430506;50.33693677;52.66320989;48.71036089;50.0132445;49.64112172;51.49614829
Liechtenstein;;;;;;;;;;;;;
Sri Lanka;40.50283134;40.94941616;44.85179484;50.64072609;53.28553319;53.29794884;51.22101903;51.93098783;48.93375635;48.68254364;48.93215299;50.12159944;49.75779653
Lower middle income;59.40360552;58.51288307;57.83380507;56.7146259;55.53464301;55.74917404;54.16042796;53.84881228;56.11384745;55.95552506;56.15942207;55.84209341;55.70765337
Low & middle income;45.20352409;43.5178137;41.84806787;40.17544148;39.1852921;38.40472535;37.58596571;37.29112942;37.20988041;36.35905281;36.25159239;36.81793113;36.50923858
Lesotho;34.38764811;30.02318442;24.65950102;22.3222211;19.85718459;21.54931575;18.20111126;18.79389137;17.44189709;16.52840972;16.24201089;17.53470153;16.64264053
Late-demographic dividend;39.66683213;38.22883388;36.14172609;34.61814014;34.385318;33.27566396;33.23787034;33.3415812;32.90206689;32.31758405;32.27665333;32.6756328;32.72963824
Lithuania;32.77876675;31.85560703;28.40399444;28.17394733;26.81708038;27.59107947;28.22128236;31.8008393;32.82087147;31.49276078;31.83712065;32.31704831;32.2738111
Luxembourg;12.92818785;13.37627918;10.30742005;10.06149203;9.895283729;10.23235396;10.87945402;10.4518801;11.06899157;11.05491295;10.61571091;10.49742699;10.6895417
Latvia;41.69103205;35.59818268;39.3208921;37.30623424;38.78267705;37.18564808;34.296754;37.82342374;38.47148418;39.10600841;40.53730965;43.44228208;41.98757708
Macao SAR, China;;;;;;;;;;;;;
St. Martin (French part);;;;;;;;;;;;;
Morocco;59.26001668;58.74881148;54.8622191;55.70158362;53.24248672;55.61273098;54.98462319;53.57524157;51.66757107;55.51983714;55.60689569;54.3168664;53.93621325
Monaco;5.803974345;6.064765155;6.834287941;6.392134726;5.493612587;5.363272876;5.69877252;5.529308319;5.739002675;5.876719952;6.016762555;7.019762695;6.887838989
Moldova;42.76385009;46.4515835;45.09947896;48.421821;45.57892978;40.43186307;44.79644895;42.21785069;42.57613122;38.34880292;46.18740976;46.29128575;43.63548458
Madagascar;32.61689544;31.62727654;33.34122896;37.27430999;37.70580888;36.4995122;28.48252952;32.51428306;33.72587264;26.98174417;24.37920421;22.03721702;24.68541116
Maldives;55.65865636;49.9217838;47.22498953;33.10024142;34.31659937;40.07978439;39.68729675;32.18829334;32.36509264;28.1368345;19.53098476;18.97980422;20.64699829
Middle East & North Africa;37.69238106;35.50631114;36.29494475;36.61332359;35.53277228;37.68475839;35.89577011;35.56721295;32.39712435;29.54328549;30.8404207;31.4239458;34.25854441
Mexico;54.58955169;53.76394987;52.49715447;48.59585464;47.35383987;45.66922486;42.72873402;42.60287285;41.30863547;39.9651289;40.40121436;40.5152142;41.28327668
Marshall Islands;9.415327013;9.415104985;11.83606088;12.95909584;13.55026215;14.14190978;14.60798085;14.13539052;13.57119381;14.12421465;12.37353012;11.50220782;12.41354346
Middle income;45.13198731;43.38020895;41.64621284;39.93674392;38.97259738;38.18280445;37.36128211;37.08446603;36.97627904;36.16301527;36.01236038;36.60711666;36.26704563
North Macedonia;41.23845696;37.00005412;37.28580475;32.02929199;34.79013741;37.78863549;35.79778969;35.24374366;33.70716274;34.97661948;34.26193297;35.32001674;31.90561533
Mali;58.60034823;58.2351923;63.0251348;65.00791311;63.51248622;57.11655617;50.88136792;45.5979079;34.81007218;33.5511744;34.1712445;35.75055599;35.11301279
Malta;28.859061;29.62184846;31.07822537;32.99180269;32.45967627;33.02583098;33.16239417;32.09076226;30.22222221;36.38644814;37.10762262;35.02109647;34.75378752
Myanmar;82.50259161;75.01602769;82.16391802;82.45877028;82.26850033;80.7446599;77.27888823;76.70021653;72.23144174;66.03540778;70.45003176;76.95278525;76.23096704
Middle East & North Africa (excluding high income);51.08483059;49.00143786;48.41388966;48.1714988;48.17452701;50.9612898;49.56342915;50.34732955;48.0325939;44.56832591;46.49233585;46.0335429;44.23758022
Montenegro;;;;;;;;;;;;;
Mongolia;32.41324723;25.55569708;23.28106314;21.4246437;22.7594763;28.05504799;32.00390041;31.53440058;37.30021417;34.84043479;35.91595292;31.95731342;32.15246797
Northern Mariana Islands;;;;;;;;;;;;;
Mozambique;9.413325042;9.506702423;9.661280364;10.47016233;9.394664317;8.258684725;9.19791311;8.101385087;7.547047734;6.374626607;6.993284076;7.513780892;7.395334542
Mauritania;67.11969376;68.14815998;65.29378891;60.92658043;62.74722815;62.62179613;58.37606192;55.25633097;49.94511008;47.2841084;47.31930792;52.77608633;49.5454818
Mauritius;49.58810806;52.9129982;55.80852032;61.84154749;58.37333798;52.31685638;53.07153463;51.61318183;53.18034887;50.18024445;49.57672656;48.1607765;48.8656491
Malawi;9.099817276;8.924166113;11.71522513;10.37028134;11.2356104;10.92772335;8.961643279;10.2416262;6.705963612;8.182888478;10.98189577;11.36833802;10.59038714
Malaysia;38.31274509;35.04802585;35.42980254;35.71586907;32.50922263;34.53304172;35.13537943;34.53748524;35.32804251;35.15336514;35.4795754;37.59584427;37.94719577
North America;13.93491425;13.54804076;13.52621963;13.20827971;12.57434864;12.36695286;12.31692444;12.16804848;12.05252008;11.61409329;11.29298926;11.2642094;11.15354023
Namibia;6.902810186;6.220865995;6.153170764;7.033061981;8.500315994;9.284990281;10.31297594;10.63295156;9.601974487;8.800637722;7.163288444;7.500336319;7.734195143
New Caledonia;;;;;;;;;;;;;
Niger;53.74749303;51.99947953;55.27786613;54.17112708;56.54988885;55.88914156;57.73744583;60.80649495;56.54368401;54.67354059;51.68564916;58.51040483;47.82851338
Nigeria;65.97051024;70.45880556;70.93754411;72.75693417;74.47493672;76.87748671;74.7251451;72.84433246;70.92673182;71.85419202;71.89007998;75.18703341;77.22480297
Nicaragua;40.12759626;44.151631;42.23958254;41.81723297;39.22595382;41.00361764;37.96031475;36.85184121;37.45858371;35.18609107;35.22270024;32.05956221;32.59904981
Netherlands;9.885855764;8.327053487;7.888962328;9.923715144;9.069506824;9.095671028;9.482382983;10.0906767;11.53488532;11.58756539;11.28642857;11.30024791;11.08693331
Norway;16.71413183;16.4525494;16.07217342;15.65692127;15.25448412;15.04647136;15.20982683;14.80008215;14.59419578;14.37853277;14.14276958;14.27099854;14.17728662
Nepal;49.21795726;42.50187278;60.96153259;61.62509322;57.62322545;56.20388985;58.379668;56.07542992;63.53343725;60.04753709;59.43524241;55.44006824;57.79855251
Nauru;4.428199679;3.953729942;2.298367769;2.191782929;3.178139031;2.333062515;1.851248741;0.780695351;1.069318876;1.033801865;0.966534019;0.923809875;0.924518611
New Zealand;14.07014281;13.83843422;11.45369932;13.23509961;12.35631555;11.95811108;12.09877729;12.26525009;12.37116382;12.85042465;13.36466074;13.57558221;13.57707381
