Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil;-0.096330546;-0.320332617;-0.214283273;-0.089577764;-0.094775394;-0.035341211;-0.116546594;-0.128173426;-0.092886731;-0.139355496;-0.184090003;-0.173778266;-0.291003823;-0.447437376
Barbados;1.295830488;1.449118614;1.327272892;1.572234511;1.48438859;1.411678314;1.470893621;1.462176323;1.357321978;1.204713941;1.025177002;1.082171559;0.842394054;0.426972657
Brunei Darussalam;0.600311995;0.873298883;0.924396574;0.888502538;0.918071687;0.901893735;0.897022545;0.84352529;0.869773328;1.086335182;1.059951544;1.084176898;1.144335389;1.252714276
Bhutan;0.324595094;0.236617506;0.295872599;0.282585412;0.494820297;0.584653556;0.632624924;0.5126127;0.400447756;0.256147236;0.406338006;0.500509799;0.571287632;0.358897328
South Sudan;;;;;;;-1.882390857;-1.584736586;-1.679246902;-2.068171263;-2.163074255;-2.353382111;-2.483661175;-2.449409246
Botswana;0.649579465;0.507834554;0.601054907;0.56733191;0.472523302;0.447351903;0.460583478;0.482212812;0.414167732;0.352403283;0.501940489;0.529832244;0.436973304;0.333441079
Central African Republic;-1.564508796;-1.50442493;-1.537028313;-1.374411225;-1.412179947;-1.387743354;-1.282365799;-1.448529005;-1.609882593;-1.848332644;-1.784649968;-1.771703601;-1.765036345;-1.720416784
Canada;1.887422085;1.895545006;1.761394262;1.791680694;1.745889544;1.783194065;1.778377771;1.765713096;1.788731575;1.760523319;1.762081265;1.781461477;1.85416007;1.716108322
Switzerland;1.851263642;2.078077316;2.042494059;2.037171125;1.948744774;1.876344204;1.867497444;1.891962409;1.824577332;2.112257957;1.998052478;2.008593082;2.056260586;2.039620876
Chile;1.23628974;1.034509301;1.275488377;1.168233633;1.247790575;1.272530079;1.247597575;1.264067769;1.264523983;1.161331534;1.086102247;1.010753036;0.843515694;1.084033728
China;-0.119986556;0.07047493;0.182777718;0.150767997;0.093804412;0.088648684;0.088201523;0.023425933;0.003648124;0.322888315;0.407863945;0.35487476;0.42046991;0.477128386
Côte d'Ivoire;-1.32339561;-1.163072824;-1.209596753;-1.243003845;-1.108911633;-1.285643458;-1.155030847;-1.098414183;-0.925787568;-0.833844006;-0.685524106;-0.673130512;-0.758035302;-0.570518613
Cameroon;-0.909558892;-0.949396133;-0.841256976;-0.805820525;-0.837522626;-0.890071929;-0.890059233;-0.898006082;-0.918751955;-0.791034162;-0.780584455;-0.7638641;-0.81367296;-0.799652517
Congo, Rep.;-1.270692348;-1.256063461;-1.322266459;-1.220554113;-1.226726413;-1.227732539;-1.195285201;-1.173945904;-1.155924201;-1.110310197;-1.022190928;-1.09679544;-1.198482752;-1.217235804
Cook Islands;0.923233807;0.609944582;0.728544295;;-0.983849704;-1.011446714;-0.973071098;-0.998810053;-0.994047165;;;;;
Colombia;-0.178071797;-0.166689128;-0.046805296;-0.028740764;-0.245924219;-0.059238378;0.03887926;0.022952002;0.071358077;-0.100556344;-0.036126588;0.015444259;-0.07388176;-0.085226238
Comoros;-1.601032853;-1.677348256;-1.757584095;-1.775536537;-1.769842982;-1.743062973;-1.760505199;-1.550860524;-1.589367032;-1.674040437;-1.52200675;-1.552775145;-1.566743016;-1.639134169
Cape Verde;-0.212178513;0.157255396;0.353523284;0.065786988;0.053114567;-0.015926674;0.154647484;0.120573722;0.096909538;0.069981024;0.167493448;0.125050023;0.167930484;0.319239318
Costa Rica;0.156103432;0.049095698;0.201267079;0.277681261;0.331335217;0.308136851;0.338153958;0.500124812;0.482306093;0.396597505;0.375612646;0.355468005;0.24859558;0.378186762
Cuba;-0.543702841;-0.243095562;-0.200885266;-0.379952013;-0.362459987;-0.361428887;-0.375388592;-0.404913485;-0.439775079;-0.046784941;0.021765001;-0.104978688;-0.181841046;-0.244837821
Cayman Islands;1.292861938;1.285326958;1.252984643;1.279326439;1.268191576;1.251718879;1.242131352;1.254732013;1.227073789;1.180053711;1.166785359;1.182225823;1.226460934;1.204365969
Cyprus;1.157761335;1.26732409;1.427616119;1.53257072;1.41832912;1.531830311;1.563668251;1.391171932;1.366624117;1.140383601;1.048619509;0.960943103;0.919977784;0.920902193
Czechia;0.925236821;1.096460104;0.895334065;1.013641596;0.883240402;0.905217707;0.930979669;0.928921938;0.891820014;1.017592907;1.046509385;1.036739469;1.005324841;0.922208071
Germany;1.505680919;1.650242805;1.637843847;1.522835732;1.578987122;1.571171761;1.554961085;1.593369126;1.542519927;1.731391549;1.736830235;1.734568119;1.71929121;1.61963284
Djibouti;-0.803671896;-0.877827644;-0.856229782;-0.86662215;-0.891377628;-0.972098351;-0.947884202;-1.063122511;-0.962294519;-0.974384606;-0.954325497;-0.973962545;-1.031035423;-0.899096608
Dominica;0.490844339;0.447506875;0.481825233;0.541592062;0.627188683;0.649909198;0.603641331;0.661122739;0.708178163;0.076308608;0.11731191;0.054378983;-0.25377202;-0.289503425
Denmark;2.119751692;2.226260185;2.353997707;2.251271963;2.232205391;2.096789598;2.101078987;1.984567404;1.992455125;1.819007277;1.847928524;1.876053929;1.79694283;1.871631145
