Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil;-0.429489583;-0.366404682;-0.371002883;-0.315274954;-0.156511158;0.044080537;0.037660815;-0.06944935;-0.080180086;-0.049857914;-0.147075251;-0.157222807;-0.284365237;-0.25378108
Barbados;1.345576286;1.236725092;1.328912973;1.308763385;1.014320135;1.081030488;1.081795573;1.031676412;1.046182513;1.08249259;1.095215201;0.79512316;0.65751946;0.394480765
Brunei Darussalam;0.241907552;0.122820817;0.412538826;0.465149164;0.788691103;0.77919966;0.849988163;0.793056726;0.594608605;0.472535253;0.407976538;0.561694205;0.646846652;0.628720999
Bhutan;0.311701059;0.193787485;0.338521272;0.384160191;0.21322076;0.16186823;0.195595726;0.236313418;0.290323943;0.379015028;0.522347927;0.493500859;0.627531469;0.551596522
South Sudan;;;;;;;-1.384420156;-1.430731654;-1.512014747;-1.822960019;-1.855472922;-1.929471612;-1.938457489;-1.957826853
Botswana;0.639998972;0.622543275;0.649875522;0.695975542;0.666224599;0.674655974;0.667684734;0.662495196;0.596098185;0.633615911;0.596159816;0.533725619;0.519358993;0.466019362
Central African Republic;-1.453295112;-1.538241148;-1.568370819;-1.414786458;-1.305086851;-1.294276357;-1.290683508;-1.443371415;-1.793080688;-1.695696592;-1.684803963;-1.816498995;-1.731485963;-1.687227249
Canada;1.661659479;1.814535499;1.81470561;1.808290362;1.804081559;1.805715084;1.736530542;1.763582468;1.755975723;1.89068222;1.842059612;1.841110587;1.801196814;1.755445004
Switzerland;1.91372931;1.817232847;1.845699787;1.816634178;1.750543594;1.757033706;1.731539726;1.819054365;1.804692388;1.994928122;1.945173621;1.947541595;1.927893877;1.930134654
Chile;1.304793358;1.271957397;1.288419962;1.313308358;1.29651475;1.335540414;1.365900517;1.391887546;1.367829084;1.43313992;1.344082713;1.129268885;1.011736512;1.0898031
China;-0.589084744;-0.639475405;-0.542214334;-0.419797361;-0.407050848;-0.409915984;-0.46483615;-0.542889893;-0.524590194;-0.414477408;-0.409796894;-0.334414572;-0.262956232;-0.201747462
Côte d'Ivoire;-1.479573131;-1.449098945;-1.455050588;-1.421530724;-1.234531403;-1.217250347;-1.269171953;-1.079258561;-0.905044436;-0.591415823;-0.629716456;-0.644551277;-0.630225658;-0.579602957
Cameroon;-1.207887173;-1.154537201;-1.184692979;-1.099858403;-1.123142362;-1.071240306;-1.074480534;-1.041518331;-1.050953388;-0.896448255;-0.975968003;-1.036001444;-1.031633615;-1.079457641
Congo, Rep.;-1.472559452;-1.267088056;-1.235257745;-1.195393682;-1.218484879;-1.219575763;-1.20313859;-1.14301312;-1.112829924;-1.108604074;-1.07853663;-1.095594168;-1.103760839;-1.101009488
Cook Islands;1.133691669;0.95277822;0.513449907;;-0.777217925;-0.91169703;-0.882126749;-0.93613714;-0.932435572;;;;;
