Country Name;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Europe & Central Asia;19223.5425;20834.8037;22556.57607;24557.10084;24315.65403;24508.4783;24985.68031;25300.13746;25993.2267;26017.46144;24655.76152;23342.33856;22844.73408;24366.3759
Ecuador;2880;3100;3310;3860;4060;4390;4870;5390;5810;6110;5970;5810;5860;6090
Egypt;1230;1230;1320;1530;1840;2120;2370;2590;2830;3040;3230;3360;3460;3040
Euro area;32404.52122;34555.32299;36718.20355;39535.967;39639.49719;39771.51974;40308.23108;39277.1661;39470.94218;39357.03342;37739.79654;36352.64963;35866.79805;38763.07631
Eritrea;390;410;420;410;480;510;600;;;;;;;
Spain;25870;27820;29740;32190;32460;31880;30950;29520;29210;29130;28430;27530;27060;29320
Estonia;9730;11500;13420;15200;14620;14700;16000;16900;18250;18990;18680;18280;18750;21350
Ethiopia;160;180;220;280;340;380;390;410;470;550;600;670;740;800
European Union;27596.40158;29597.15616;31660.85079;34388.19495;34516.5877;34713.61032;35202.61159;34515.96228;34825.39766;34796.20689;33418.26713;32188.67725;31828.37441;34489.00399
Fragile and conflict affected situations;990.3355646;1185.494249;1413.958435;1722.166632;1860.395951;2022.74347;2007.103088;2296.604902;2396.853674;2499.196812;2364.928583;2160.178595;1963.519773;1951.765038
Finland;40170;42800;46160;50070;48800;49600;50150;48940;49480;49390;47150;45490;44740;48300
Fiji;3590;3620;3820;4010;3860;3650;3780;4140;4710;5020;5200;5360;5480;5860
France;35870;37850;40130;43460;43930;43850;44350;43380;43780;43320;41100;39070;38340;41080
Faroe Islands;;;;;;;;;;;;;;
Micronesia;2440;2560;2560;2570;2590;2820;2900;3070;3150;3180;3150;3490;3410;3450
Gabon;5510;5740;6580;7310;7570;7830;8110;9090;9330;9330;7970;7080;6510;6830
United Kingdom;42890;45230;47650;48580;44220;41650;41070;41700;42740;44330;44290;42980;41370;41730
Georgia;1520;1910;2380;2820;2950;3210;3520;4150;4530;4740;4410;4080;4040;4460
Ghana;460;590;790;1140;1190;1230;1380;1530;1850;1900;1940;1820;1890;2130
Gibraltar;;;;;;;;;;;;;;
Guinea;360;400;470;620;670;690;680;700;700;740;760;780;830;850
Gambia;470;520;640;700;810;880;890;760;760;730;650;620;620;650
Guinea-Bissau;430;440;470;510;560;580;640;630;640;640;640;650;680;750
Equatorial Guinea;3890;8110;11600;14250;12530;9970;11540;13870;14030;13230;10850;8270;6510;6650
Greece;22760;24550;26350;28660;29330;27660;24930;23500;22540;22180;20320;18890;18360;19620
Grenada;6650;6430;6830;7260;6720;6940;7060;7030;7350;7520;7780;8350;8890;9580
Greenland;30920;30240;34800;;;;;;;;;;;
Guatemala;2030;2190;2410;2640;2680;2780;2940;3200;3410;3570;3700;3870;4090;4390
Guam;;;;;;;;;;;;;;
Guyana;1090;1420;1860;2450;2720;2900;3220;3610;3880;4110;4130;4210;4340;4770
High income;34052.37871;35760.27324;37195.63724;38787.8023;38130.2809;39159.57902;40494.70747;41848.53329;42658.12793;42844.75122;41649.08541;40751.52816;41004.0743;43815.99743
Hong Kong SAR;28120;28890;30290;32070;33950;32350;33620;35690;36340;38570;40240;41180;42970;46390
Honduras;1280;1350;1480;1600;1630;1720;1870;1970;2000;2000;2060;2120;2250;2320
Heavily indebted poor countries (HIPC);443.59019;486.6706215;552.1952844;648.266284;704.833087;744.3215002;781.1164649;828.6783599;877.7595517;919.5043533;926.5055045;905.0940342;898.4505447;928.6699841
Croatia;10160;11310;12700;14270;14110;14070;14000;13420;13550;13260;12970;12380;12640;14010
Haiti;410;480;550;620;680;660;710;760;810;830;820;780;760;800
Hungary;10360;11250;11790;13230;13380;13190;13170;12990;13480;13540;13220;13050;13080;14760
IBRD only;2131.399744;2479.341268;2947.786193;3483.996428;3748.720471;4188.354709;4665.986246;5288.610095;5721.706524;5911.877918;5763.246602;5657.250064;5780.917527;6227.075707
IDA & IBRD total;1786.471998;2070.329;2448.367357;2884.821963;3097.033252;3442.270551;3813.475404;4304.484052;4646.807591;4799.252781;4677.563999;4578.171946;4653.44979;4984.825008
IDA total;595.8369553;676.7641213;768.4521913;896.0224493;962.8913185;1029.157848;1088.320482;1196.400646;1294.676102;1375.505494;1381.446043;1344.538907;1317.552579;1358.628306
IDA blend;834.2117971;989.6610627;1134.725191;1326.852051;1394.453536;1470.378246;1548.007607;1730.341311;1889.691884;2035.560127;2020.531608;1896.295872;1777.01471;1773.936967
