Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil;-0.139790952;-0.109041564;-0.075929083;0.007890017;-0.069308594;0.046279952;0.165902138;-0.037277132;-0.084710017;-0.338454574;-0.396488786;-0.381440401;-0.532080472;-0.39996767
Barbados;1.419328928;1.334152818;1.410959363;1.370843768;1.384172201;1.483429551;1.724580765;1.656359434;1.61942935;1.138042569;1.490528226;1.257364392;1.421125293;1.411579013
Brunei Darussalam;0.246152416;0.207792073;0.214668885;0.491153687;0.991409063;0.863127589;0.861592948;0.546046436;0.646088302;0.531248033;0.572457314;0.568419755;0.712642491;0.795430362
Bhutan;0.819255352;0.815984666;0.881052434;0.858181715;0.909912825;0.912634909;0.838497639;0.939840794;0.901595712;1.280398726;1.022321463;1.126503825;1.568311453;1.646751285
South Sudan;;;;;;-0.817696393;-1.395798922;-1.280866265;-1.382361531;-1.589431405;-1.687515378;-1.714806318;-1.713335872;-1.728170753
Botswana;1.159933805;0.972932279;1.003516674;1.03906846;0.959988654;1.026902318;0.995536983;0.933660388;0.923625588;0.854375482;0.852122009;0.929886222;0.793524325;0.748641729
Central African Republic;-1.278492808;-1.210749388;-1.189860821;-1.115491271;-0.976690412;-0.929651856;-0.946708739;-0.992781579;-1.090757012;-1.160162926;-1.308060884;-1.280001521;-1.173227787;-1.233546019
Canada;1.879260898;1.962554097;2.000899553;2.002688646;2.061788797;2.069799423;1.977883339;1.927136421;1.886832833;1.836426377;1.886581302;1.989900947;1.924279809;1.828014135
Switzerland;2.019936562;2.093455076;2.150763512;2.124063969;2.070191145;2.072073698;2.035800695;2.146760225;2.132419825;2.151518822;2.136473179;1.988357425;1.989057302;2.009996414
Chile;1.470515132;1.457343221;1.396430969;1.376726508;1.38012743;1.4972893;1.528443336;1.582224488;1.541565418;1.488503098;1.27997005;1.140053749;1.039301991;1.046754003
China;-0.608733773;-0.514581382;-0.589647532;-0.520295084;-0.514938235;-0.561642945;-0.507113516;-0.435700834;-0.358352214;-0.340069056;-0.282107323;-0.254059404;-0.269940704;-0.271265149
Côte d'Ivoire;-1.240558267;-1.198453426;-1.091262817;-1.107821465;-1.104134202;-1.157895684;-1.012900949;-0.830383062;-0.73554945;-0.419152915;-0.434929669;-0.530065596;-0.52540946;-0.499305129
