Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Aruba;23300.03956;24045.27248;25835.13267;27084.70369;24630.45371;23512.6026;24985.99328;24713.69805;26189.43551;26647.9381;27980.8807;28281.35048;29007.693;
Afghanistan;242.0312849;263.7336917;359.6932375;364.6607448;438.0760344;543.3030419;591.162759;641.8714792;637.1655232;613.8566892;578.4663529;547.2281102;556.3020024;524.1628809
Angola;1902.422346;2599.566464;3121.995637;4080.94141;3122.780766;3587.883798;4615.468028;5100.095808;5254.882338;5408.410496;4166.979684;3506.072885;4095.812942;3289.646664
Albania;2673.787283;2972.743265;3595.037163;4370.540127;4114.140114;4094.350334;4437.142885;4247.629984;4413.060861;4578.631994;3952.801215;4124.055726;4531.020806;5284.380184
Andorra;40066.25692;42675.81276;47803.69361;48718.49687;43503.18552;40852.66678;43335.32886;38686.46126;39538.76672;41303.92937;35762.52307;37474.66541;38962.88035;41793.05526
Arab World;3765.820496;4359.807963;4963.541521;6146.391727;5176.528324;5934.290684;6867.692047;7465.151651;7519.80826;7457.461109;6387.660615;6097.239025;6102.211067;6603.35119
United Arab Emirates;39365.4339;41907.40566;41809.51638;44498.93423;32024.1816;33893.30351;39194.67662;40976.49971;42412.63028;43751.83889;38663.38381;38141.84676;40644.80404;43839.35635
Argentina;5109.851325;5919.012037;7245.448317;9020.873098;8225.137176;10385.96443;12848.8642;13082.66433;13080.25473;12334.79825;13789.06042;12790.24247;14591.86338;11683.94962
Armenia;1643.753029;2158.143697;3139.277499;4010.857243;2994.342544;3218.372707;3525.804747;3681.857456;3838.185801;3986.231624;3607.296697;3591.829276;3914.501268;4220.490277
American Samoa;8444.9817;8391.561067;8909.449156;9792.666806;11961.25823;10271.22452;10294.30227;11568.793;11505.39371;11507.23235;11843.33118;11696.95556;10823.4448;11466.69071
Antigua and Barbuda;12547.61304;13989.71567;15607.08987;16024.34555;14113.07726;13049.25705;12746.20502;13272.44133;12909.74418;13501.58092;14286.09316;15197.61746;15383.41519;16726.98081
Australia;33999.24286;36044.92281;40960.05449;49601.65671;42772.35917;52022.1256;62517.83375;68012.1479;68150.10704;62510.79117;56755.72171;49971.13146;54066.47127;57395.91947
Austria;38403.13388;40635.28182;46855.77175;51708.76575;47963.1794;46858.04327;51374.95841;48567.69529;50716.70871;51717.49594;44178.04738;45237.80509;47549.07904;51525.04643
Azerbaijan;1578.40239;2473.081819;3851.437869;5574.603802;4950.294791;5842.805784;7189.691229;7496.294648;7875.756953;7891.313147;5500.310382;3880.738731;4147.089716;4739.84171
Burundi;151.6814634;167.3764845;172.4958599;198.3529006;212.1368804;234.2356469;249.5779794;252.3589799;256.9760028;274.8579479;305.5497728;282.1931304;292.9976307;271.7520444
Belgium;36795.97688;38672.70594;44262.896;48106.89292;44583.54481;44141.87814;47348.52502;44673.11588;46744.66254;47700.54036;40991.80814;41998.33575;44288.50804;47491.32326
Benin;822.4578309;855.2940392;964.926944;1120.888273;1084.3939;1036.533952;1130.273132;1145.140811;1251.210518;1291.409808;1076.797716;1087.287832;1136.592847;1240.829464
Burkina Faso;457.7515455;473.0291849;534.3558864;640.8108774;621.6731034;647.8358465;751.1729572;758.0007014;787.4701763;792.8467784;653.3269795;687.670175;738.2741589;820.1607938
Bangladesh;499.4619402;509.6401429;558.0518603;634.9870565;702.26441;781.1535936;861.7584443;883.1050005;981.8398792;1118.853663;1248.453398;1401.620466;1563.913857;1698.350394
Bulgaria;3899.907638;4523.050833;5885.104348;7265.735497;6984.965976;6809.898984;7806.348652;7393.189177;7651.817881;7874.260904;7053.603706;7545.790332;8331.058025;9423.558612
