Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Finland;5246096;5266268;5288720;5313399;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5515525
Fiji;821604;827870;836190;845361;853637;859818;863449;865069;865608;866453;868627;872399;877459;883483
France;63179351;63621381;64016225;64374984;64707040;65027507;65342780;65659809;65998687;66312067;66548272;66724104;66864379;66965912
Faroe Islands;47722;47792;47825;47820;47808;47814;47823;47843;47892;47960;48051;48173;48331;48497
Micronesia, Fed. Sts.;106129;105371;104444;103543;102975;102911;103450;104506;105926;107446;108895;110215;111459;112640
Gabon;1390549;1430152;1472575;1518540;1568928;1624140;1684635;1749682;1817071;1883800;1947686;2007873;2064823;2119275
United Kingdom;60401206;60846820;61322463;61806995;62276270;62766365;63258810;63700215;64128273;64602298;65116219;65611593;66058859;66460344
Georgia;3902469;3880347;3860158;3848449;3814419;3786695;3756441;3728874;3717668;3719414;3725276;3727505;3728004;3726549
Ghana;21814642;22379055;22963946;23563825;24170940;24779619;25387710;25996449;26607642;27224472;27849205;28481946;29121471;29767108
Gibraltar;33219;33417;33517;33559;33565;33585;33612;33646;33692;33725;33736;33737;33728;33718
Guinea;9109581;9307425;9518162;9738792;9964469;10192176;10420471;10652029;10892810;11150977;11432088;11738441;12067539;12414318
Gambia, The;1543741;1591445;1639848;1689285;1740279;1793196;1848147;1905011;1963711;2024042;2085860;2149139;2213894;2280102
Guinea-Bissau;1344930;1377581;1411543;1446936;1483921;1522599;1562989;1604979;1648257;1692439;1737202;1782437;1828146;1874309
Equatorial Guinea;749535;784496;821687;860840;901599;943639;986853;1031191;1076413;1122276;1168568;1215179;1262001;1308974
Greece;10987314;11020362;11048473;11077841;11107017;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10732882
Grenada;104661;104933;105190;105456;105789;106233;106796;107446;108170;108902;109599;110261;110874;111454
Greenland;56935;56774;56555;56328;56323;56905;56890;56810;56483;56295;56114;56186;56172;56023
Guatemala;12948292;13213330;13477017;13739299;14000190;14259687;14521515;14781942;15043981;15306316;15567419;15827690;16087418;16346950
Guam;158402;158648;158847;159036;159226;159444;159692;159996;160407;161016;161853;162951;164281;165768
Guyana;746163;746343;746474;746817;747718;749436;752028;755399;759285;763380;767432;771366;775221;779004
High income;1137301501;1145660105;1154287221;1163465951;1171805563;1179329063;1184722247;1191504227;1198364441;1205404809;1212252369;1219052239;1225031047;1230515713
Hong Kong SAR, China;6813200;6857100;6916300;6957800;6972800;7024200;7071600;7150100;7178900;7229500;7291300;7336600;7391700;7451000
